Ngay,Gia_target,outlier_flag,target_lag1,target_lag2,target_lag3,target_ret_lag1,MA5,MA10,std5,dayofweek,month,london_vnd_kg_lag1,usdvnd_lag1,diesel,diesel_chg_1m,diesel_chg_3m,rain_90d,oni,waterbal_90d,Luong_lag1m,dongia_lag1m,dongia_ret_lag1m,area_tn,prod_tn,yield_tn,tonkho_tan
2020-01-01,32319.5,0,,,,,,,,2,1,32022.322,23171.0,16590,0.0381727158948685,0.0240740740740741,203.479995816,0.58,-142.27162166800002,87.5,1800.8,-0.0140865544225753,618.0,1511494.4,2.4457838187702263,33360.0
2020-01-02,32319.5,0,32319.5,,,,,,,3,1,32022.322,23171.0,16590,0.0381727158948685,0.0240740740740741,188.599995816,0.58,-157.76106400800003,87.5,1800.8,-0.0140865544225753,618.0,1511494.4,2.4457838187702263,33360.0
2020-01-03,32269.5,0,32319.5,32319.5,,0.0,,,,4,1,31971.84,23168.0,16590,0.0381727158948685,0.0240740740740741,180.959996396,0.58,-166.69135384800003,87.5,1800.8,-0.0140865544225753,618.0,1511494.4,2.4457838187702263,33360.0
2020-01-06,32460.5,0,32269.5,32319.5,32319.5,-0.001547053636349549,32302.833333333332,,28.86751345948076,0,1,31790.612,23171.0,16590,0.0381727158948685,0.0240740740740741,176.779996386,0.58,-170.17139427800004,112.9,1738.3525243578388,-0.0346776297435368,618.0,1511494.4,2.4457838187702263,33360.0
2020-01-07,32127.0,0,32460.5,32269.5,32319.5,0.005918901749329963,32342.25,,82.28152891141504,1,1,31333.952,23176.0,16590,0.0381727158948685,0.0240740740740741,175.179996426,0.58,-171.68660927800005,112.9,1738.3525243578388,-0.0346776297435368,618.0,1511494.4,2.4457838187702263,33360.0
2020-01-08,32244.0,0,32127.0,32460.5,32269.5,-0.010274025353891658,32299.2,32299.2,119.76727432817388,2,1,31610.7,23175.0,16590,0.0381727158948685,0.0240740740740741,174.399996408,0.58,-172.21651877600002,112.9,1738.3525243578388,-0.0346776297435368,618.0,1511494.4,2.4457838187702263,33360.0
2020-01-09,32085.5,0,32244.0,32127.0,32460.5,0.0036417966196657936,32284.1,32290.0,121.31745546293017,3,1,31378.95,23175.0,16590,0.0381727158948685,0.0240740740740741,173.21999636799998,0.58,-173.77612227600002,112.9,1738.3525243578388,-0.0346776297435368,618.0,1511494.4,2.4457838187702263,33360.0
2020-01-10,32083.0,0,32085.5,32244.0,32127.0,-0.0049156432204441325,32237.3,32260.785714285714,146.72193087606226,4,1,31005.474,23173.0,16590,0.0381727158948685,0.0240740740740741,170.27999636799998,0.58,-177.19920229600004,112.9,1738.3525243578388,-0.0346776297435368,618.0,1511494.4,2.4457838187702263,33360.0
2020-01-13,31884.5,0,32083.0,32085.5,32244.0,-7.791681600721745e-05,32200.0,32238.5625,159.6280833688107,0,1,31171.72,23176.0,16590,0.0381727158948685,0.0240740740740741,165.739996376,0.58,-181.915522168,112.9,1738.3525243578388,-0.0346776297435368,618.0,1511494.4,2.4457838187702263,33360.0
2020-01-14,31334.5,0,31884.5,32083.0,32085.5,-0.006187077268335228,32084.8,32199.222222222223,129.66234997099173,1,1,30402.976,23173.0,16590,0.0381727158948685,0.0240740740740741,165.19999636799997,0.58,-183.410443016,112.9,1738.3525243578388,-0.0346776297435368,618.0,1511494.4,2.4457838187702263,33360.0
