ngay_ky,gia,nguon
2023-05-22,17954,luatvietnam
2023-06-01,17943,luatvietnam
2023-06-12,18028,luatvietnam
2023-06-21,18174,luatvietnam
2023-07-03,18169,luatvietnam
2023-07-11,18616,luatvietnam
2023-07-21,19500,luatvietnam
2023-08-01,20612,luatvietnam
2023-08-11,22425,luatvietnam
2023-08-21,22354,luatvietnam
2023-09-05,22640,luatvietnam
2023-09-11,23055,luatvietnam
2023-09-21,23594,luatvietnam
2023-10-02,23594,luatvietnam
2023-10-11,22410,luatvietnam
2023-10-23,22490,luatvietnam
2023-11-01,21940,luatvietnam
2023-11-13,20880,luatvietnam
2023-11-23,20280,luatvietnam
2023-11-30,20196,luatvietnam
2023-12-07,19720,luatvietnam
2023-12-14,19000,luatvietnam
2023-12-21,19524,luatvietnam
2023-12-28,19780,luatvietnam
2024-01-04,19368,luatvietnam
2024-01-11,19700,luatvietnam
2024-01-18,20194,luatvietnam
2024-01-25,20370,luatvietnam
2024-02-01,20990,luatvietnam
2024-02-08,20707,luatvietnam
2024-02-15,21361,luatvietnam
2024-02-22,20910,luatvietnam
2024-02-29,20770,luatvietnam
2024-03-07,20470,luatvietnam
2024-03-14,20540,luatvietnam
2024-03-21,21014,luatvietnam
2024-03-28,20690,luatvietnam
2024-04-04,20980,luatvietnam
2024-04-11,21610,luatvietnam
2024-04-18,21440,luatvietnam
2024-04-25,20710,luatvietnam
2024-05-02,20600,luatvietnam
2024-05-09,19840,luatvietnam
2024-05-16,19870,luatvietnam
2024-05-23,19837,luatvietnam
2024-05-30,19747,luatvietnam
2024-06-06,19422,luatvietnam
2024-06-13,19640,luatvietnam
2024-06-20,20360,luatvietnam
2024-06-27,20680,luatvietnam
2024-07-04,21170,luatvietnam
2024-07-11,20830,luatvietnam
2024-07-18,20500,luatvietnam
2024-07-25,20190,luatvietnam
2024-08-01,19870,luatvietnam
2024-08-08,19140,luatvietnam
2024-08-15,19230,luatvietnam
2024-08-22,18770,luatvietnam
2024-08-29,18470,luatvietnam
2024-09-05,18090,luatvietnam
2024-09-12,17160,luatvietnam
2024-09-19,17040,luatvietnam
2024-09-26,17500,luatvietnam
2024-10-03,17400,luatvietnam
2024-10-10,18500,luatvietnam
2024-10-17,18320,luatvietnam
2024-10-24,18050,luatvietnam
2024-10-31,18140,luatvietnam
2024-11-07,18910,luatvietnam
2024-11-14,18570,luatvietnam
2024-11-21,18500,luatvietnam
2024-11-28,18770,luatvietnam
2024-12-05,18380,luatvietnam
2024-12-12,18250,luatvietnam
2024-12-19,18730,luatvietnam
2024-12-26,18630,luatvietnam
2025-01-02,18750,luatvietnam
2025-01-09,19240,luatvietnam
2025-01-16,19780,luatvietnam
2025-01-23,20190,luatvietnam
2025-02-01,19240,luatvietnam
2025-02-06,19050,luatvietnam
2025-02-13,19070,luatvietnam
2025-02-20,19060,luatvietnam
2025-02-27,18950,luatvietnam
2025-03-06,18330,luatvietnam
2025-03-13,17890,luatvietnam
2025-03-20,17890,luatvietnam
2025-03-27,18210,luatvietnam
2025-04-03,18470,luatvietnam
2025-04-10,17240,luatvietnam
2025-04-17,17030,luatvietnam
2025-04-24,17520,luatvietnam
2025-05-05,17350,luatvietnam
2025-05-08,16800,luatvietnam
2025-05-15,17220,luatvietnam
2025-05-22,17400,luatvietnam
2025-05-29,17130,luatvietnam
2025-06-05,17420,luatvietnam
2025-06-12,17700,luatvietnam
2025-06-19,19150,luatvietnam
2025-06-26,19340,luatvietnam
2025-07-03,18400,luatvietnam
2025-07-10,18830,luatvietnam
2025-07-17,18790,luatvietnam
2025-07-24,19120,luatvietnam
2025-07-31,19060,luatvietnam
2025-08-07,18800,luatvietnam
2025-08-14,18070,luatvietnam
2025-08-21,17900,luatvietnam
2025-08-28,18350,luatvietnam
2025-09-04,18470,luatvietnam
2025-09-11,18640,luatvietnam
2025-09-18,18700,luatvietnam
2025-09-25,18650,luatvietnam
2025-10-02,19030,luatvietnam
2025-10-09,18600,luatvietnam
2025-10-16,18420,luatvietnam
2025-10-23,17880,luatvietnam
2025-10-30,19200,luatvietnam
2025-11-06,19320,luatvietnam
2025-11-13,19860,luatvietnam
2025-11-20,19820,luatvietnam
2025-11-27,18800,luatvietnam
2025-12-04,18380,luatvietnam
2025-12-11,18150,luatvietnam
2025-12-18,17470,luatvietnam
2025-12-25,17250,luatvietnam
2025-12-31,17250,luatvietnam
2026-01-08,17060,luatvietnam
2026-01-15,17280,luatvietnam
2026-01-22,17700,luatvietnam
2026-01-29,18170,luatvietnam
2026-02-05,18450,luatvietnam
2026-02-12,18460,luatvietnam
2026-02-20,18520,luatvietnam
2026-02-26,19270,luatvietnam
2026-03-05,23030,luatvietnam
2026-03-07,30230,luatvietnam
2026-03-11,26470,luatvietnam
2026-03-12,27020,luatvietnam
2026-03-19,33420,luatvietnam
2026-03-24,39660,luatvietnam
2026-03-25,37890,luatvietnam
2026-03-27,35440,luatvietnam
2026-04-02,40820,luatvietnam
2026-04-03,44780,luatvietnam
2026-04-08,42840,luatvietnam
2026-04-09,32960,luatvietnam
2026-04-16,31040,luatvietnam
2026-04-21,27850,luatvietnam
2026-04-23,26690,luatvietnam
2026-04-29,28170,luatvietnam
2026-05-07,27490,luatvietnam
2026-05-14,27220,luatvietnam
2026-05-21,28760,luatvietnam
2026-05-28,27650,luatvietnam
