Nam,Tinh,DienTich_nghinHa
2008,Kon Tum,10.4
2009,Kon Tum,11.1
2010,Kon Tum,11.5
2011,Kon Tum,11.9
2012,Kon Tum,12.8
2013,Kon Tum,13.4
2014,Kon Tum,14.1
2015,Kon Tum,15.3
2016,Kon Tum,16.6
2017,Kon Tum,18.0
2018,Kon Tum,20.5
2019,Kon Tum,21.6
2020,Kon Tum,25.3
2021,Kon Tum,29.0
2022,Kon Tum,29.1
2023,Kon Tum,29.8
2024,Kon Tum,31.5
2025,Kon Tum,31.5
1998,Lai Châu,0.4
1999,Lai Châu,0.4
2000,Lai Châu,0.4
2001,Lai Châu,0.4
2002,Lai Châu,0.4
2003,Lai Châu,0.4
2004,Lai Châu,0.4
2005,Lai Châu,0.4
2006,Lai Châu,0.4
2007,Lai Châu,0.5
2008,Lai Châu,0.4
2009,Lai Châu,0.3
2010,Lai Châu,0.3
2011,Lai Châu,0.2
1995,Lâm Đồng,126.9
2010,Lâm Đồng,143.3
2015,Lâm Đồng,166.2
2016,Lâm Đồng,172.4
2017,Lâm Đồng,173.9
2018,Lâm Đồng,175.6
2019,Lâm Đồng,175.2
2020,Lâm Đồng,176.1
2021,Lâm Đồng,175.9
2022,Lâm Đồng,175.9
2023,Lâm Đồng,176.8
2024,Lâm Đồng,176.8
2025,Lâm Đồng,176.8
1995,Nghệ An,2.6
1996,Nghệ An,3.2
1997,Nghệ An,3.5
1998,Nghệ An,3.8
1999,Nghệ An,3.0
2000,Nghệ An,2.8
2001,Nghệ An,3.0
2002,Nghệ An,2.4
2003,Nghệ An,2.5
2004,Nghệ An,2.5
2005,Nghệ An,2.5
2006,Nghệ An,1.9
2007,Nghệ An,2.0
2008,Nghệ An,1.3
2009,Nghệ An,1.4
2010,Nghệ An,1.0
2011,Nghệ An,0.9
2012,Nghệ An,0.7
2013,Nghệ An,0.6
2014,Nghệ An,0.5
2015,Nghệ An,0.5
2016,Nghệ An,0.5
2017,Nghệ An,0.5
2018,Nghệ An,0.0
2019,Nghệ An,0.0
2020,Nghệ An,0.0
2021,Nghệ An,0.0
2022,Nghệ An,0.0
2023,Nghệ An,0.0
2022,Ninh Thuận,0.0
2023,Ninh Thuận,0.0
1998,Phú Yên,1.5
1999,Phú Yên,1.8
2000,Phú Yên,1.8
2001,Phú Yên,1.8
2002,Phú Yên,1.7
2003,Phú Yên,1.7
2004,Phú Yên,1.0
2005,Phú Yên,1.0
2006,Phú Yên,1.0
2007,Phú Yên,1.1
2008,Phú Yên,1.2
2009,Phú Yên,1.5
2010,Phú Yên,1.6
2011,Phú Yên,1.6
2012,Phú Yên,1.6
2013,Phú Yên,1.6
2014,Phú Yên,1.4
2015,Phú Yên,1.4
2016,Phú Yên,1.4
2017,Phú Yên,1.4
2018,Phú Yên,0.3
2019,Phú Yên,0.2
2020,Phú Yên,0.1
2021,Phú Yên,0.1
2022,Phú Yên,0.1
2023,Phú Yên,0.1
1995,Quảng Bình,0.2
1996,Quảng Bình,0.2
1997,Quảng Bình,0.2
1998,Quảng Bình,0.2
1999,Quảng Bình,0.2
2000,Quảng Bình,0.2
2001,Quảng Bình,0.2
2002,Quảng Bình,0.1
2003,Quảng Bình,0.1
2004,Quảng Bình,0.1
2005,Quảng Bình,0.1
2006,Quảng Bình,0.1
2007,Quảng Bình,0.1
1995,Quảng Trị,1.9
1996,Quảng Trị,2.2
1997,Quảng Trị,2.6
1998,Quảng Trị,3.0
1999,Quảng Trị,3.5
2000,Quảng Trị,3.3
2001,Quảng Trị,3.5
2002,Quảng Trị,3.6
2003,Quảng Trị,3.7
2004,Quảng Trị,3.8
2005,Quảng Trị,3.8
2006,Quảng Trị,4.0
2007,Quảng Trị,4.1
2008,Quảng Trị,4.3
2009,Quảng Trị,4.5
2010,Quảng Trị,4.7
2011,Quảng Trị,4.7
2012,Quảng Trị,4.9
2013,Quảng Trị,4.8
2014,Quảng Trị,4.9
2015,Quảng Trị,5.1
2016,Quảng Trị,5.0
2017,Quảng Trị,5.0
2018,Quảng Trị,4.9
2019,Quảng Trị,4.9
2020,Quảng Trị,4.4
2021,Quảng Trị,4.1
2022,Quảng Trị,3.9
2023,Quảng Trị,3.7
2024,Quảng Trị,3.7
1995,Sơn La,1.8
1996,Sơn La,2.2
1997,Sơn La,2.8
1998,Sơn La,3.6
1999,Sơn La,3.9
2000,Sơn La,4.0
2001,Sơn La,2.7
2002,Sơn La,2.7
2003,Sơn La,2.7
2004,Sơn La,2.8
2005,Sơn La,2.9
2006,Sơn La,2.6
2007,Sơn La,3.0
2008,Sơn La,3.4
2009,Sơn La,3.6
2010,Sơn La,4.5
2011,Sơn La,5.8
2012,Sơn La,7.2
2013,Sơn La,10.6
2014,Sơn La,11.3
2015,Sơn La,16.9
2016,Sơn La,17.3
2017,Sơn La,17.6
2018,Sơn La,17.1
2019,Sơn La,17.8
2020,Sơn La,17.8
2021,Sơn La,18.0
2022,Sơn La,18.8
2023,Sơn La,20.9
2024,Sơn La,23.3
1998,Thanh Hóa,4.0
1999,Thanh Hóa,3.4
2000,Thanh Hóa,3.4
2001,Thanh Hóa,4.0
2002,Thanh Hóa,4.0
2003,Thanh Hóa,4.0
2004,Thanh Hóa,0.9
2005,Thanh Hóa,1.3
2006,Thanh Hóa,0.3
2007,Thanh Hóa,0.2
2008,Thanh Hóa,0.1
1998,Thừa Thiên Huế,0.2
1999,Thừa Thiên Huế,0.1
2000,Thừa Thiên Huế,0.2
2001,Thừa Thiên Huế,0.5
2002,Thừa Thiên Huế,0.7
2003,Thừa Thiên Huế,0.7
2004,Thừa Thiên Huế,0.7
2005,Thừa Thiên Huế,0.7
2006,Thừa Thiên Huế,0.7
2007,Thừa Thiên Huế,0.7
2008,Thừa Thiên Huế,0.9
2009,Thừa Thiên Huế,0.8
2010,Thừa Thiên Huế,0.8
2011,Thừa Thiên Huế,0.8
2012,Thừa Thiên Huế,0.7
2013,Thừa Thiên Huế,0.7
2014,Thừa Thiên Huế,0.3
1998,Yên Bái,1.8
1999,Yên Bái,1.8
2000,Yên Bái,0.9
2001,Yên Bái,0.9
2002,Yên Bái,0.6
2003,Yên Bái,0.4
2004,Yên Bái,0.3
2005,Yên Bái,0.1
2006,Yên Bái,0.1
2007,Yên Bái,0.0
2003,Điện Biên,0.2
2004,Điện Biên,0.4
2005,Điện Biên,0.4
2006,Điện Biên,0.2
2007,Điện Biên,3.4
2008,Điện Biên,1.0
2009,Điện Biên,1.5
2010,Điện Biên,2.0
2011,Điện Biên,3.0
2012,Điện Biên,3.7
2013,Điện Biên,4.0
2014,Điện Biên,4.1
2015,Điện Biên,4.5
2016,Điện Biên,4.5
2017,Điện Biên,4.5
2018,Điện Biên,4.0
2019,Điện Biên,3.3
2020,Điện Biên,3.3
2021,Điện Biên,2.5
2022,Điện Biên,2.6
2023,Điện Biên,2.8
1995,Đắk Lắk,126.9
1996,Đắk Lắk,165.0
1997,Đắk Lắk,169.6
1998,Đắk Lắk,182.3
1999,Đắk Lắk,259.0
2000,Đắk Lắk,258.5
2001,Đắk Lắk,237.3
2002,Đắk Lắk,232.3
2003,Đắk Lắk,166.4
2004,Đắk Lắk,167.0
2005,Đắk Lắk,170.4
2006,Đắk Lắk,174.7
2007,Đắk Lắk,178.9
2008,Đắk Lắk,182.4
2009,Đắk Lắk,182.0
2010,Đắk Lắk,190.8
2011,Đắk Lắk,200.2
2012,Đắk Lắk,202.0
2013,Đắk Lắk,203.6
2014,Đắk Lắk,204.4
2015,Đắk Lắk,203.4
2016,Đắk Lắk,203.7
2017,Đắk Lắk,203.8
2018,Đắk Lắk,203.1
2019,Đắk Lắk,208.1
2020,Đắk Lắk,210.0
2021,Đắk Lắk,213.3
2022,Đắk Lắk,212.9
2023,Đắk Lắk,212.1
2024,Đắk Lắk,212.5
2025,Đắk Lắk,212.5
2003,Đắk Nông,66.5
2004,Đắk Nông,67.1
2005,Đắk Nông,71.4
2006,Đắk Nông,70.2
2007,Đắk Nông,71.9
2008,Đắk Nông,75.5
2009,Đắk Nông,74.8
2010,Đắk Nông,86.5
2011,Đắk Nông,90.2
2012,Đắk Nông,115.3
2013,Đắk Nông,117.4
2014,Đắk Nông,118.5
2015,Đắk Nông,119.5
2016,Đắk Nông,123.6
2017,Đắk Nông,127.5
2018,Đắk Nông,129.5
2019,Đắk Nông,129.2
2020,Đắk Nông,130.5
2021,Đắk Nông,135.6
2022,Đắk Nông,139.9
2023,Đắk Nông,142.1
2024,Đắk Nông,143.0
2025,Đắk Nông,143.0
1995,Đồng Nai,22.1
1996,Đồng Nai,24.0
1997,Đồng Nai,31.0
1998,Đồng Nai,33.6
1999,Đồng Nai,35.8
2000,Đồng Nai,33.2
2001,Đồng Nai,27.0
2002,Đồng Nai,25.1
2003,Đồng Nai,23.4
2004,Đồng Nai,20.3
2005,Đồng Nai,18.6
2006,Đồng Nai,16.9
2007,Đồng Nai,16.4
2008,Đồng Nai,17.7
2009,Đồng Nai,18.6
2010,Đồng Nai,20.0
2011,Đồng Nai,20.0
2012,Đồng Nai,20.3
2013,Đồng Nai,21.8
2014,Đồng Nai,20.4
2015,Đồng Nai,21.0
2016,Đồng Nai,21.0
2017,Đồng Nai,21.0
2018,Đồng Nai,12.7
2019,Đồng Nai,10.0
2020,Đồng Nai,8.5
2021,Đồng Nai,7.1
2022,Đồng Nai,5.8
2023,Đồng Nai,5.2
