ngay_ky,gio,mat_hang,gia,chenh_lech
2019-12-31,,"DO_0,05S",16590,530
2019-12-31,,E5_RON92,19880,160
2019-12-31,,KO,15580,570
2019-12-31,,RON95,20990,110
2020-01-15,,"DO_0,05S",16540,-50
2020-01-15,,E5_RON92,19840,-40
2020-01-15,,KO,15530,-50
2020-01-15,,RON95,20910,-80
2020-01-30,,"DO_0,05S",16130,-410
2020-01-30,,E5_RON92,19260,-580
2020-01-30,,KO,15060,-470
2020-01-30,,RON95,20120,-790
2020-02-14,,"DO_0,05S",15170,-960
2020-02-14,,E5_RON92,18500,-760
2020-02-14,,KO,13950,-1110
2020-02-14,,RON95,19380,-740
2020-02-29,,"DO_0,05S",14780,-390
2020-02-29,,E5_RON92,18340,-160
2020-02-29,,KO,13670,-280
2020-02-29,,RON95,19120,-260
2020-03-15,,"DO_0,05S",13030,-1750
2020-03-15,,E5_RON92,16050,-2290
2020-03-15,,KO,11840,-1830
2020-03-15,,RON95,16810,-2310
2020-03-29,,"DO_0,05S",11250,-1780
2020-03-29,,E5_RON92,11950,-4100
2020-03-29,,KO,9140,-2700
2020-03-29,,RON95,12560,-4250
2020-04-13,,"DO_0,05S",10820,-430
2020-04-13,,E5_RON92,11340,-610
2020-04-13,,KO,8630,-510
2020-04-13,,RON95,11930,-630
2020-04-28,,"DO_0,05S",9940,-880
2020-04-28,,E5_RON92,10940,-400
2020-04-28,,KO,7960,-670
2020-04-28,,RON95,11630,-300
2020-05-13,,"DO_0,05S",9850,-90
2020-05-13,,E5_RON92,11520,580
2020-05-13,,KO,7880,-80
2020-05-13,,RON95,12230,600
2020-05-28,,"DO_0,05S",10740,890
2020-05-28,,E5_RON92,12400,880
2020-05-28,,KO,8750,870
2020-05-28,,RON95,13120,890
2020-06-12,,"DO_0,05S",11510,770
2020-06-12,,E5_RON92,13390,990
2020-06-12,,KO,9610,860
2020-06-12,,RON95,14080,960
2020-06-27,,"DO_0,05S",12110,600
2020-06-27,,E5_RON92,14250,860
2020-06-27,,KO,10030,420
2020-06-27,,RON95,14970,890
2020-07-13,,"DO_0,05S",12110,0
2020-07-13,,E5_RON92,14250,0
2020-07-13,,KO,10030,0
2020-07-13,,RON95,14970,0
2020-07-28,,"DO_0,05S",12390,280
2020-07-28,,E5_RON92,14400,150
2020-07-28,,KO,10270,240
2020-07-28,,RON95,14970,0
2020-08-12,,"DO_0,05S",12200,-190
2020-08-12,,E5_RON92,14400,0
2020-08-12,,KO,10200,-70
2020-08-12,,RON95,14920,-50
2020-08-27,,"DO_0,05S",11960,-240
2020-08-27,,E5_RON92,14400,0
2020-08-27,,KO,10120,-80
2020-08-27,,RON95,15110,190
2020-09-11,,"DO_0,05S",11510,-450
2020-09-11,,E5_RON92,14260,-140
2020-09-11,,KO,9590,-530
2020-09-11,,RON95,14980,-130
2020-09-26,,"DO_0,05S",11120,-390
2020-09-26,,E5_RON92,14210,-50
2020-09-26,,KO,9440,-150
2020-09-26,,RON95,14980,0
2020-10-12,,"DO_0,05S",11120,0
2020-10-12,,E5_RON92,14260,50
2020-10-12,,KO,9590,150
2020-10-12,,RON95,15120,140
2020-10-27,,"DO_0,05S",11210,90
2020-10-27,,E5_RON92,14100,-160
2020-10-27,,KO,9710,120
2020-10-27,,RON95,14940,-180
2020-11-11,,"DO_0,05S",10830,-380
2020-11-11,,E5_RON92,13880,-220
2020-11-11,,KO,9560,-150
2020-11-11,,RON95,14700,-240
2020-11-26,,"DO_0,05S",11430,600
2020-11-26,,E5_RON92,14490,610
2020-11-26,,KO,10130,570
2020-11-26,,RON95,15350,650
2020-12-11,,"DO_0,05S",11890,460
2020-12-11,,E5_RON92,15120,630
2020-12-11,,KO,10770,640
2020-12-11,,RON95,16000,650
2020-12-26,,"DO_0,05S",12370,480
2020-12-26,,E5_RON92,15510,390
2020-12-26,,KO,11180,410
2020-12-26,,RON95,16470,470
2021-01-11,,"DO_0,05S",12640,270
2021-01-11,,E5_RON92,15940,430
2021-01-11,,KO,11550,370
2021-01-11,,RON95,16930,460
2021-01-26,,"DO_0,05S",13040,400
2021-01-26,,E5_RON92,16300,360
2021-01-26,,KO,11900,350
2021-01-26,,RON95,17270,340
2021-02-10,,"DO_0,05S",13040,0
2021-02-10,,E5_RON92,16300,0
2021-02-10,,KO,11900,0
2021-02-10,,RON95,17270,0
2021-02-25,,"DO_0,05S",13840,800
2021-02-25,,E5_RON92,17030,730
2021-02-25,,KO,12610,710
2021-02-25,,RON95,18080,810
2021-03-12,,"DO_0,05S",14400,560
2021-03-12,,E5_RON92,17720,690
2021-03-12,,KO,13170,560
2021-03-12,,RON95,18880,800
2021-03-27,,"DO_0,05S",14240,-160
2021-03-27,,E5_RON92,17850,130
2021-03-27,,KO,13000,-170
2021-03-27,,RON95,19040,160
2021-04-12,,"DO_0,05S",14140,-100
2021-04-12,,E5_RON92,17800,-50
2021-04-12,,KO,12820,-180
2021-04-12,,RON95,18970,-70
2021-04-27,,"DO_0,05S",14320,180
2021-04-27,,E5_RON92,17980,180
2021-04-27,,KO,13250,430
2021-04-27,,RON95,19160,190
2021-05-12,,"DO_0,05S",14770,450
2021-05-12,,E5_RON92,18420,440
2021-05-12,,KO,13820,570
2021-05-12,,RON95,19530,370
2021-05-27,,"DO_0,05S",14770,0
2021-05-27,,E5_RON92,18420,0
2021-05-27,,KO,13820,0
2021-05-27,,RON95,19530,0
2021-06-11,,"DO_0,05S",15440,670
2021-06-11,,E5_RON92,19040,620
2021-06-11,,KO,14410,590
2021-06-11,,RON95,20160,630
2021-06-26,,"DO_0,05S",16110,670
2021-06-26,,E5_RON92,19760,720
2021-06-26,,KO,15050,640
2021-06-26,,RON95,20910,750
2021-07-12,,"DO_0,05S",16530,420
2021-07-12,,E5_RON92,20610,850
2021-07-12,,KO,15500,450
2021-07-12,,RON95,21780,870
2021-07-27,,"DO_0,05S",16370,-160
2021-07-27,,E5_RON92,20490,-120
2021-07-27,,KO,15390,-110
2021-07-27,,RON95,21680,-100
2021-08-11,,"DO_0,05S",16170,-200
2021-08-11,,E5_RON92,20490,0
2021-08-11,,KO,15170,-220
2021-08-11,,RON95,21680,0
2021-08-26,,"DO_0,05S",15660,-510
2021-08-26,,E5_RON92,19890,-600
2021-08-26,,KO,14760,-410
2021-08-26,,RON95,21130,-550
2021-09-10,,"DO_0,05S",16020,360
2021-09-10,,E5_RON92,20140,250
2021-09-10,,KO,15080,320
2021-09-10,,RON95,21390,260
2021-09-25,,"DO_0,05S",16580,560
2021-09-25,,E5_RON92,20710,570
2021-09-25,,KO,15640,560
2021-09-25,,RON95,21940,550
2021-10-11,,"DO_0,05S",17540,960
2021-10-11,,E5_RON92,21680,970
2021-10-11,,KO,16620,980
2021-10-11,,RON95,22870,930
2021-10-26,,"DO_0,05S",18710,1170
2021-10-26,,E5_RON92,23110,1430
2021-10-26,,KO,17630,1010
2021-10-26,,RON95,24330,1460
2021-11-10,,"DO_0,05S",18710,0
2021-11-10,,E5_RON92,23660,550
2021-11-10,,KO,17630,0
2021-11-10,,RON95,24990,660
2021-11-25,,"DO_0,05S",18380,-330
2021-11-25,,E5_RON92,22910,-750
2021-11-25,,KO,17190,-440
2021-11-25,,RON95,23900,-1090
2021-12-10,,"DO_0,05S",17330,-1050
2021-12-10,,E5_RON92,22080,-830
2021-12-10,,KO,16320,-870
2021-12-10,,RON95,22800,-1100
2021-12-25,,"DO_0,05S",17570,240
2021-12-25,,E5_RON92,22550,470
2021-12-25,,KO,16510,190
2021-12-25,,RON95,23290,490
2022-01-11,,"DO_0,05S",18230,660
2022-01-11,,E5_RON92,23150,600
2022-01-11,,KO,17130,620
2022-01-11,,RON95,23870,580
2022-01-21,,"DO_0,05S",18900,670
2022-01-21,,E5_RON92,23590,440
2022-01-21,,KO,17790,660
2022-01-21,,RON95,24360,490
2022-02-11,,"DO_0,05S",19860,960
