ngay,gia,chenh_lech,pct_change
2019-01-27,14900.0,,0.0
2019-01-28,14900.0,,0.0
2019-01-29,14900.0,,0.0
2019-01-30,14900.0,,0.0
2019-01-31,14900.0,0.0,0.0
2019-02-01,14900.0,,0.0
2019-02-02,14900.0,,0.0
2019-02-03,14900.0,,0.0
2019-02-04,14900.0,,0.0
2019-02-05,14900.0,,0.0
2019-02-06,14900.0,,0.0
2019-02-07,14900.0,,0.0
2019-02-08,14900.0,,0.0
2019-02-09,14900.0,,0.0
2019-02-10,14900.0,,0.0
2019-02-11,14900.0,,0.0
2019-02-12,14900.0,,0.0
2019-02-13,14900.0,,0.0
2019-02-14,14900.0,,0.0
2019-02-15,14900.0,0.0,0.0
2019-02-16,14900.0,,0.0
2019-02-17,14900.0,,0.0
2019-02-18,14900.0,,0.0
2019-02-19,14900.0,,0.0
2019-02-20,14900.0,,0.0
2019-02-21,14900.0,,0.0
2019-02-22,14900.0,,0.0
2019-02-23,14900.0,,0.0
2019-02-24,14900.0,,0.0
2019-02-25,14900.0,,0.0
2019-02-26,14900.0,,0.0
2019-02-27,14900.0,,0.0
2019-02-28,14900.0,,0.0
2019-03-01,14900.0,,0.0
2019-03-02,15860.0,960.0,0.06442953020134223
2019-03-03,15860.0,,0.0
2019-03-04,15860.0,,0.0
2019-03-05,15860.0,,0.0
2019-03-06,15860.0,,0.0
2019-03-07,15860.0,,0.0
2019-03-08,15860.0,,0.0
2019-03-09,15860.0,,0.0
2019-03-10,15860.0,,0.0
2019-03-11,15860.0,,0.0
2019-03-12,15860.0,,0.0
2019-03-13,15860.0,,0.0
2019-03-14,15860.0,,0.0
2019-03-15,15860.0,,0.0
2019-03-16,15860.0,,0.0
2019-03-17,15860.0,,0.0
2019-03-18,15860.0,0.0,0.0
2019-03-19,15860.0,,0.0
2019-03-20,15860.0,,0.0
2019-03-21,15860.0,,0.0
2019-03-22,15860.0,,0.0
2019-03-23,15860.0,,0.0
2019-03-24,15860.0,,0.0
2019-03-25,15860.0,,0.0
2019-03-26,15860.0,,0.0
2019-03-27,15860.0,,0.0
2019-03-28,15860.0,,0.0
2019-03-29,15860.0,,0.0
2019-03-30,15860.0,,0.0
2019-03-31,15860.0,,0.0
2019-04-01,15860.0,,0.0
2019-04-02,17080.0,1220.0,0.07692307692307687
2019-04-03,17080.0,,0.0
2019-04-04,17080.0,,0.0
2019-04-05,17080.0,,0.0
2019-04-06,17080.0,,0.0
2019-04-07,17080.0,,0.0
2019-04-08,17080.0,,0.0
2019-04-09,17080.0,,0.0
2019-04-10,17080.0,,0.0
2019-04-11,17080.0,,0.0
2019-04-12,17080.0,,0.0
2019-04-13,17080.0,,0.0
2019-04-14,17080.0,,0.0
2019-04-15,17080.0,,0.0
2019-04-16,17080.0,,0.0
2019-04-17,17380.0,300.0,0.017564402810304358
2019-04-18,17380.0,,0.0
2019-04-19,17380.0,,0.0
2019-04-20,17380.0,,0.0
2019-04-21,17380.0,,0.0
2019-04-22,17380.0,,0.0
2019-04-23,17380.0,,0.0
2019-04-24,17380.0,,0.0
2019-04-25,17380.0,,0.0
2019-04-26,17380.0,,0.0
2019-04-27,17380.0,,0.0
2019-04-28,17380.0,,0.0
2019-04-29,17380.0,,0.0
2019-04-30,17380.0,,0.0
2019-05-01,17380.0,,0.0
2019-05-02,17690.0,310.0,0.017836593785960808
2019-05-03,17690.0,,0.0
2019-05-04,17690.0,,0.0
2019-05-05,17690.0,,0.0
2019-05-06,17690.0,,0.0
2019-05-07,17690.0,,0.0
2019-05-08,17690.0,,0.0
2019-05-09,17690.0,,0.0
2019-05-10,17690.0,,0.0
2019-05-11,17690.0,,0.0
2019-05-12,17690.0,,0.0
2019-05-13,17690.0,,0.0
2019-05-14,17690.0,,0.0
2019-05-15,17690.0,,0.0
2019-05-16,17690.0,,0.0
2019-05-17,17610.0,-80.0,-0.0045223289994347216
2019-05-18,17610.0,,0.0
2019-05-19,17610.0,,0.0
2019-05-20,17610.0,,0.0
2019-05-21,17610.0,,0.0
2019-05-22,17610.0,,0.0
2019-05-23,17610.0,,0.0
2019-05-24,17610.0,,0.0
2019-05-25,17610.0,,0.0
2019-05-26,17610.0,,0.0
2019-05-27,17610.0,,0.0
2019-05-28,17610.0,,0.0
2019-05-29,17610.0,,0.0
2019-05-30,17610.0,,0.0
2019-05-31,17610.0,,0.0
2019-06-01,17390.0,-220.0,-0.01249290176036344
2019-06-02,17390.0,,0.0
2019-06-03,17390.0,,0.0
2019-06-04,17390.0,,0.0
2019-06-05,17390.0,,0.0
2019-06-06,17390.0,,0.0
2019-06-07,17390.0,,0.0
2019-06-08,17390.0,,0.0
2019-06-09,17390.0,,0.0
2019-06-10,17390.0,,0.0
2019-06-11,17390.0,,0.0
2019-06-12,17390.0,,0.0
2019-06-13,17390.0,,0.0
2019-06-14,17390.0,,0.0
2019-06-15,17390.0,,0.0
2019-06-16,17390.0,,0.0
2019-06-17,16650.0,-740.0,-0.04255319148936165
2019-06-18,16650.0,,0.0
2019-06-19,16650.0,,0.0
2019-06-20,16650.0,,0.0
2019-06-21,16650.0,,0.0
2019-06-22,16650.0,,0.0
2019-06-23,16650.0,,0.0
2019-06-24,16650.0,,0.0
2019-06-25,16650.0,,0.0
2019-06-26,16650.0,,0.0
2019-06-27,16650.0,,0.0
2019-06-28,16650.0,,0.0
2019-06-29,16650.0,,0.0
2019-06-30,16650.0,,0.0
2019-07-01,16650.0,,0.0
2019-07-02,16940.0,290.0,0.017417417417417314
2019-07-03,16940.0,,0.0
2019-07-04,16940.0,,0.0
2019-07-05,16940.0,,0.0
2019-07-06,16940.0,,0.0
2019-07-07,16940.0,,0.0
2019-07-08,16940.0,,0.0
2019-07-09,16940.0,,0.0
2019-07-10,16940.0,,0.0
2019-07-11,16940.0,,0.0
2019-07-12,16940.0,,0.0
2019-07-13,16940.0,,0.0
2019-07-14,16940.0,,0.0
2019-07-15,16940.0,,0.0
2019-07-16,16940.0,,0.0
2019-07-17,16990.0,50.0,0.002951593860684776
2019-07-18,16990.0,,0.0
2019-07-19,16990.0,,0.0
2019-07-20,16990.0,,0.0
2019-07-21,16990.0,,0.0
2019-07-22,16990.0,,0.0
2019-07-23,16990.0,,0.0
2019-07-24,16990.0,,0.0
2019-07-25,16990.0,,0.0
2019-07-26,16990.0,,0.0
2019-07-27,16990.0,,0.0
2019-07-28,16990.0,,0.0
2019-07-29,16990.0,,0.0
2019-07-30,16990.0,,0.0
2019-07-31,16990.0,,0.0
2019-08-01,17020.0,30.0,0.0017657445556209517
2019-08-02,17020.0,,0.0
2019-08-03,17020.0,,0.0
2019-08-04,17020.0,,0.0
2019-08-05,17020.0,,0.0
2019-08-06,17020.0,,0.0
2019-08-07,17020.0,,0.0
2019-08-08,17020.0,,0.0
2019-08-09,17020.0,,0.0
2019-08-10,17020.0,,0.0
2019-08-11,17020.0,,0.0
2019-08-12,17020.0,,0.0
2019-08-13,17020.0,,0.0
2019-08-14,17020.0,,0.0
2019-08-15,17020.0,,0.0
2019-08-16,16500.0,-520.0,-0.03055229142185667
2019-08-17,16500.0,,0.0
2019-08-18,16500.0,,0.0
2019-08-19,16500.0,,0.0
2019-08-20,16500.0,,0.0
2019-08-21,16500.0,,0.0
2019-08-22,16500.0,,0.0
2019-08-23,16500.0,,0.0
2019-08-24,16500.0,,0.0
2019-08-25,16500.0,,0.0
2019-08-26,16500.0,,0.0
2019-08-27,16500.0,,0.0
2019-08-28,16500.0,,0.0
2019-08-29,16500.0,,0.0
2019-08-30,16500.0,,0.0
2019-08-31,16330.0,-170.0,-0.010303030303030258
2019-09-01,16330.0,,0.0
2019-09-02,16330.0,,0.0
2019-09-03,16330.0,,0.0
2019-09-04,16330.0,,0.0
2019-09-05,16330.0,,0.0
2019-09-06,16330.0,,0.0
2019-09-07,16330.0,,0.0
2019-09-08,16330.0,,0.0
2019-09-09,16330.0,,0.0
2019-09-10,16330.0,,0.0
2019-09-11,16330.0,,0.0
2019-09-12,16330.0,,0.0
2019-09-13,16330.0,,0.0
2019-09-14,16330.0,,0.0
2019-09-15,16330.0,,0.0
2019-09-16,16200.0,-130.0,-0.007960808328230207
2019-09-17,16200.0,,0.0
2019-09-18,16200.0,,0.0
2019-09-19,16200.0,,0.0
2019-09-20,16200.0,,0.0
2019-09-21,16200.0,,0.0
2019-09-22,16200.0,,0.0
2019-09-23,16200.0,,0.0
2019-09-24,16200.0,,0.0
2019-09-25,16200.0,,0.0
2019-09-26,16200.0,,0.0
2019-09-27,16200.0,,0.0
2019-09-28,16200.0,,0.0
2019-09-29,16200.0,,0.0
2019-09-30,16200.0,,0.0
2019-10-01,16630.0,430.0,0.02654320987654324
2019-10-02,16630.0,,0.0
2019-10-03,16630.0,,0.0
2019-10-04,16630.0,,0.0
2019-10-05,16630.0,,0.0
2019-10-06,16630.0,,0.0
2019-10-07,16630.0,,0.0
2019-10-08,16630.0,,0.0
2019-10-09,16630.0,,0.0
2019-10-10,16630.0,,0.0
2019-10-11,16630.0,,0.0
2019-10-12,16630.0,,0.0
2019-10-13,16630.0,,0.0
2019-10-14,16630.0,,0.0
2019-10-15,16630.0,,0.0
2019-10-16,16220.0,-410.0,-0.024654239326518335
2019-10-17,16220.0,,0.0
2019-10-18,16220.0,,0.0
2019-10-19,16220.0,,0.0
2019-10-20,16220.0,,0.0
2019-10-21,16220.0,,0.0
2019-10-22,16220.0,,0.0
2019-10-23,16220.0,,0.0
2019-10-24,16220.0,,0.0
2019-10-25,16220.0,,0.0
2019-10-26,16220.0,,0.0
2019-10-27,16220.0,,0.0
2019-10-28,16220.0,,0.0
2019-10-29,16220.0,,0.0
2019-10-30,16220.0,,0.0
2019-10-31,16050.0,-170.0,-0.010480887792848281
2019-11-01,16050.0,,0.0
2019-11-02,16050.0,,0.0
2019-11-03,16050.0,,0.0
2019-11-04,16050.0,,0.0
2019-11-05,16050.0,,0.0
2019-11-06,16050.0,,0.0
2019-11-07,16050.0,,0.0
2019-11-08,16050.0,,0.0
2019-11-09,16050.0,,0.0
2019-11-10,16050.0,,0.0
2019-11-11,16050.0,,0.0
2019-11-12,16050.0,,0.0
2019-11-13,16050.0,,0.0
2019-11-14,16050.0,,0.0
2019-11-15,15960.0,-90.0,-0.005607476635513975
2019-11-16,15960.0,,0.0
2019-11-17,15960.0,,0.0
2019-11-18,15960.0,,0.0
2019-11-19,15960.0,,0.0
2019-11-20,15960.0,,0.0
2019-11-21,15960.0,,0.0
2019-11-22,15960.0,,0.0
2019-11-23,15960.0,,0.0
2019-11-24,15960.0,,0.0
2019-11-25,15960.0,,0.0
2019-11-26,15960.0,,0.0
2019-11-27,15960.0,,0.0
2019-11-28,15960.0,,0.0
2019-11-29,15960.0,,0.0
2019-11-30,15980.0,20.0,0.0012531328320801727
2019-12-01,15980.0,,0.0
2019-12-02,15980.0,,0.0
2019-12-03,15980.0,,0.0
2019-12-04,15980.0,,0.0
2019-12-05,15980.0,,0.0
2019-12-06,15980.0,,0.0
2019-12-07,15980.0,,0.0
2019-12-08,15980.0,,0.0
2019-12-09,15980.0,,0.0
2019-12-10,15980.0,,0.0
2019-12-11,15980.0,,0.0
2019-12-12,15980.0,,0.0
2019-12-13,15980.0,,0.0
2019-12-14,15980.0,,0.0
2019-12-15,15980.0,,0.0
2019-12-16,16060.0,80.0,0.005006257822277815
2019-12-17,16060.0,,0.0
2019-12-18,16060.0,,0.0
2019-12-19,16060.0,,0.0
2019-12-20,16060.0,,0.0
2019-12-21,16060.0,,0.0
2019-12-22,16060.0,,0.0
2019-12-23,16060.0,,0.0
2019-12-24,16060.0,,0.0
2019-12-25,16060.0,,0.0
2019-12-26,16060.0,,0.0
2019-12-27,16060.0,,0.0
2019-12-28,16060.0,,0.0
2019-12-29,16060.0,,0.0
2019-12-30,16060.0,,0.0
2019-12-31,16590.0,530.0,0.03300124533001236
2020-01-01,16590.0,,0.0
2020-01-02,16590.0,,0.0
2020-01-03,16590.0,,0.0
2020-01-04,16590.0,,0.0
2020-01-05,16590.0,,0.0
2020-01-06,16590.0,,0.0
2020-01-07,16590.0,,0.0
2020-01-08,16590.0,,0.0
2020-01-09,16590.0,,0.0
2020-01-10,16590.0,,0.0
2020-01-11,16590.0,,0.0
2020-01-12,16590.0,,0.0
2020-01-13,16590.0,,0.0
2020-01-14,16590.0,,0.0
2020-01-15,16540.0,-50.0,-0.003013863773357439
2020-01-16,16540.0,,0.0
2020-01-17,16540.0,,0.0
2020-01-18,16540.0,,0.0
2020-01-19,16540.0,,0.0
2020-01-20,16540.0,,0.0
2020-01-21,16540.0,,0.0
2020-01-22,16540.0,,0.0
2020-01-23,16540.0,,0.0
2020-01-24,16540.0,,0.0
2020-01-25,16540.0,,0.0
2020-01-26,16540.0,,0.0
2020-01-27,16540.0,,0.0
2020-01-28,16540.0,,0.0
2020-01-29,16540.0,,0.0
2020-01-30,16130.0,-410.0,-0.024788391777509022
2020-01-31,16130.0,,0.0
2020-02-01,16130.0,,0.0
2020-02-02,16130.0,,0.0
2020-02-03,16130.0,,0.0
2020-02-04,16130.0,,0.0
2020-02-05,16130.0,,0.0
2020-02-06,16130.0,,0.0
2020-02-07,16130.0,,0.0
2020-02-08,16130.0,,0.0
2020-02-09,16130.0,,0.0
2020-02-10,16130.0,,0.0
2020-02-11,16130.0,,0.0
2020-02-12,16130.0,,0.0
2020-02-13,16130.0,,0.0
2020-02-14,15170.0,-960.0,-0.05951642901425913
2020-02-15,15170.0,,0.0
2020-02-16,15170.0,,0.0
2020-02-17,15170.0,,0.0
2020-02-18,15170.0,,0.0
2020-02-19,15170.0,,0.0
2020-02-20,15170.0,,0.0
2020-02-21,15170.0,,0.0
2020-02-22,15170.0,,0.0
2020-02-23,15170.0,,0.0
2020-02-24,15170.0,,0.0
2020-02-25,15170.0,,0.0
2020-02-26,15170.0,,0.0
2020-02-27,15170.0,,0.0
2020-02-28,15170.0,,0.0
2020-02-29,14780.0,-390.0,-0.02570863546473301
2020-03-01,14780.0,,0.0
2020-03-02,14780.0,,0.0
2020-03-03,14780.0,,0.0
2020-03-04,14780.0,,0.0
2020-03-05,14780.0,,0.0
2020-03-06,14780.0,,0.0
2020-03-07,14780.0,,0.0
2020-03-08,14780.0,,0.0
2020-03-09,14780.0,,0.0
2020-03-10,14780.0,,0.0
2020-03-11,14780.0,,0.0
2020-03-12,14780.0,,0.0
2020-03-13,14780.0,,0.0
2020-03-14,14780.0,,0.0
2020-03-15,13030.0,-1750.0,-0.118403247631935
2020-03-16,13030.0,,0.0
2020-03-17,13030.0,,0.0
2020-03-18,13030.0,,0.0
2020-03-19,13030.0,,0.0
2020-03-20,13030.0,,0.0
2020-03-21,13030.0,,0.0
2020-03-22,13030.0,,0.0
2020-03-23,13030.0,,0.0
2020-03-24,13030.0,,0.0
2020-03-25,13030.0,,0.0
2020-03-26,13030.0,,0.0
2020-03-27,13030.0,,0.0
2020-03-28,13030.0,,0.0
2020-03-29,11250.0,-1780.0,-0.13660782808902527
2020-03-30,11250.0,,0.0
2020-03-31,11250.0,,0.0
2020-04-01,11250.0,,0.0
2020-04-02,11250.0,,0.0
2020-04-03,11250.0,,0.0
2020-04-04,11250.0,,0.0
2020-04-05,11250.0,,0.0
2020-04-06,11250.0,,0.0
2020-04-07,11250.0,,0.0
2020-04-08,11250.0,,0.0
2020-04-09,11250.0,,0.0
2020-04-10,11250.0,,0.0
2020-04-11,11250.0,,0.0
2020-04-12,11250.0,,0.0
2020-04-13,10820.0,-430.0,-0.03822222222222227
2020-04-14,10820.0,,0.0
2020-04-15,10820.0,,0.0
2020-04-16,10820.0,,0.0
2020-04-17,10820.0,,0.0
2020-04-18,10820.0,,0.0
2020-04-19,10820.0,,0.0
2020-04-20,10820.0,,0.0
2020-04-21,10820.0,,0.0
