date,Brent,DO_0001S,DO_005S,E5_RON92,FO_30S,FO_35S,FO_380,FO_other,RON92,RON95,RON95_IV,WTI,dau_hoa
2017-01-04,205.0,,14020.0,17660.0,11750.0,11120.0,11240.0,,17940.0,18650.0,18800.0,229.0,12490.0
2017-01-05,205.0,,14020.0,17660.0,11750.0,11120.0,11240.0,,17940.0,18650.0,18800.0,229.0,12490.0
2017-01-06,205.0,,14020.0,17660.0,11750.0,11120.0,11240.0,,17940.0,18650.0,18800.0,229.0,12490.0
2017-01-07,205.0,,14020.0,17660.0,11750.0,11120.0,11240.0,,17940.0,18650.0,18800.0,229.0,12490.0
2017-01-08,205.0,,14020.0,17660.0,11750.0,11120.0,11240.0,,17940.0,18650.0,18800.0,229.0,12490.0
2017-01-09,205.0,,14020.0,17660.0,11750.0,11120.0,11240.0,,17940.0,18650.0,18800.0,229.0,12490.0
2017-01-10,205.0,,14020.0,17660.0,11750.0,11120.0,11240.0,,17940.0,18650.0,18800.0,229.0,12490.0
2017-01-11,205.0,,14020.0,17660.0,11750.0,11120.0,11240.0,,17940.0,18650.0,18800.0,229.0,12490.0
2017-01-12,205.0,,14020.0,17660.0,11750.0,11120.0,11240.0,,17940.0,18650.0,18800.0,229.0,12490.0
2017-01-13,205.0,,14020.0,17660.0,11750.0,11120.0,11240.0,,17940.0,18650.0,18800.0,229.0,12490.0
2017-01-14,205.0,,14020.0,17660.0,11750.0,11120.0,11240.0,,17940.0,18650.0,18800.0,229.0,12490.0
2017-01-15,205.0,,14020.0,17660.0,11750.0,11120.0,11240.0,,17940.0,18650.0,18800.0,229.0,12490.0
2017-01-16,205.0,,14020.0,17660.0,11750.0,11120.0,11240.0,,17940.0,18650.0,18800.0,229.0,12490.0
2017-01-17,205.0,,14020.0,17660.0,11750.0,11120.0,11240.0,,17940.0,18650.0,18800.0,229.0,12490.0
2017-01-18,205.0,,14020.0,17660.0,11750.0,11120.0,11240.0,,17940.0,18650.0,18800.0,229.0,12490.0
2017-01-19,205.0,,14320.0,17660.0,12260.0,11620.0,11750.0,,17940.0,18650.0,18800.0,229.0,12850.0
2017-01-20,205.0,,14320.0,17660.0,12260.0,11620.0,11750.0,,17940.0,18650.0,18800.0,229.0,12850.0
2017-01-21,205.0,,14320.0,17660.0,12260.0,11620.0,11750.0,,17940.0,18650.0,18800.0,229.0,12850.0
2017-01-22,205.0,,14320.0,17660.0,12260.0,11620.0,11750.0,,17940.0,18650.0,18800.0,229.0,12850.0
2017-01-23,205.0,,14320.0,17660.0,12260.0,11620.0,11750.0,,17940.0,18650.0,18800.0,229.0,12850.0
2017-01-24,205.0,,14320.0,17660.0,12260.0,11620.0,11750.0,,17940.0,18650.0,18800.0,229.0,12850.0
2017-01-25,205.0,,14320.0,17660.0,12260.0,11620.0,11750.0,,17940.0,18650.0,18800.0,229.0,12850.0
2017-01-26,205.0,,14320.0,17660.0,12260.0,11620.0,11750.0,,17940.0,18650.0,18800.0,229.0,12850.0
2017-01-27,205.0,,14320.0,17660.0,12260.0,11620.0,11750.0,,17940.0,18650.0,18800.0,229.0,12850.0
2017-01-28,205.0,,14320.0,17660.0,12260.0,11620.0,11750.0,,17940.0,18650.0,18800.0,229.0,12850.0
2017-01-29,205.0,,14320.0,17660.0,12260.0,11620.0,11750.0,,17940.0,18650.0,18800.0,229.0,12850.0
2017-01-30,205.0,,14320.0,17660.0,12260.0,11620.0,11750.0,,17940.0,18650.0,18800.0,229.0,12850.0
2017-01-31,205.0,,14320.0,17660.0,12260.0,11620.0,11750.0,,17940.0,18650.0,18800.0,229.0,12850.0
2017-02-01,205.0,,14320.0,17660.0,12260.0,11620.0,11750.0,,17940.0,18650.0,18800.0,229.0,12850.0
2017-02-02,205.0,,14320.0,17660.0,12260.0,11620.0,11750.0,,17940.0,18650.0,18800.0,229.0,12850.0
2017-02-03,205.0,,14300.0,17660.0,11830.0,11200.0,11320.0,,17940.0,18650.0,18800.0,229.0,12770.0
2017-02-04,205.0,,14300.0,17660.0,11830.0,11200.0,11320.0,,17940.0,18650.0,18800.0,229.0,12770.0
2017-02-05,205.0,,14300.0,17660.0,11830.0,11200.0,11320.0,,17940.0,18650.0,18800.0,229.0,12770.0
2017-02-06,205.0,,14300.0,17660.0,11830.0,11200.0,11320.0,,17940.0,18650.0,18800.0,229.0,12770.0
2017-02-07,205.0,,14300.0,17660.0,11830.0,11200.0,11320.0,,17940.0,18650.0,18800.0,229.0,12770.0
2017-02-08,205.0,,14300.0,17660.0,11830.0,11200.0,11320.0,,17940.0,18650.0,18800.0,229.0,12770.0
2017-02-09,205.0,,14300.0,17660.0,11830.0,11200.0,11320.0,,17940.0,18650.0,18800.0,229.0,12770.0
2017-02-10,205.0,,14300.0,17660.0,11830.0,11200.0,11320.0,,17940.0,18650.0,18800.0,229.0,12770.0
2017-02-11,205.0,,14300.0,17660.0,11830.0,11200.0,11320.0,,17940.0,18650.0,18800.0,229.0,12770.0
2017-02-12,205.0,,14300.0,17660.0,11830.0,11200.0,11320.0,,17940.0,18650.0,18800.0,229.0,12770.0
2017-02-13,205.0,,14300.0,17660.0,11830.0,11200.0,11320.0,,17940.0,18650.0,18800.0,229.0,12770.0
