date,Brent,DO_0001S,DO_005S,E5_RON92,FO_30S,FO_35S,FO_380,FO_other,RON92,RON95,RON95_IV,WTI,dau_hoa
2017-02-16,197.0,,14020.0,17320.0,11600.0,11200.0,11100.0,,17590.0,18290.0,18440.0,215.0,12520.0
2017-02-17,197.0,,14020.0,17320.0,11600.0,11200.0,11100.0,,17590.0,18290.0,18440.0,215.0,12520.0
2017-02-18,197.0,,14300.0,17810.0,11720.0,11320.0,11220.0,,18090.0,18790.0,18940.0,215.0,12750.0
2017-02-19,197.0,,14300.0,17810.0,11720.0,11320.0,11220.0,,18090.0,18790.0,18940.0,215.0,12750.0
2017-02-20,197.0,,14300.0,17810.0,11720.0,11320.0,11220.0,,18090.0,18790.0,18940.0,215.0,12750.0
2017-02-21,197.0,,14300.0,17810.0,11720.0,11320.0,11220.0,,18090.0,18790.0,18940.0,215.0,12750.0
2017-02-22,197.0,,14300.0,17810.0,11720.0,11320.0,11220.0,,18090.0,18790.0,18940.0,215.0,12750.0
2017-02-23,197.0,,14300.0,17810.0,11720.0,11320.0,11220.0,,18090.0,18790.0,18940.0,215.0,12750.0
2017-02-24,197.0,,14300.0,17810.0,11720.0,11320.0,11220.0,,18090.0,18790.0,18940.0,215.0,12750.0
2017-02-25,197.0,,14300.0,17810.0,11720.0,11320.0,11220.0,,18090.0,18790.0,18940.0,215.0,12750.0
2017-02-26,197.0,,14300.0,17810.0,11720.0,11320.0,11220.0,,18090.0,18790.0,18940.0,215.0,12750.0
2017-02-27,197.0,,14300.0,17810.0,11720.0,11320.0,11220.0,,18090.0,18790.0,18940.0,215.0,12750.0
2017-02-28,197.0,,14300.0,17810.0,11720.0,11320.0,11220.0,,18090.0,18790.0,18940.0,215.0,12750.0
2017-03-01,197.0,,14300.0,17810.0,11720.0,11320.0,11220.0,,18090.0,18790.0,18940.0,215.0,12750.0
2017-03-02,197.0,,14300.0,17810.0,11720.0,11320.0,11220.0,,18090.0,18790.0,18940.0,215.0,12750.0
2017-03-03,197.0,,14300.0,17810.0,11720.0,11320.0,11220.0,,18090.0,18790.0,18940.0,215.0,12750.0
2017-03-04,197.0,,14300.0,17810.0,11720.0,11320.0,11220.0,,18090.0,18790.0,18940.0,215.0,12750.0
2017-03-05,197.0,,14300.0,17810.0,11720.0,11320.0,11220.0,,18090.0,18790.0,18940.0,215.0,12750.0
2017-03-06,197.0,,14440.0,17760.0,11770.0,11370.0,11270.0,,18020.0,18720.0,18870.0,215.0,12830.0
2017-03-07,197.0,,14440.0,17760.0,11770.0,11370.0,11270.0,,18020.0,18720.0,18870.0,215.0,12830.0
2017-03-08,197.0,,14440.0,17760.0,11770.0,11370.0,11270.0,,18020.0,18720.0,18870.0,215.0,12830.0
2017-03-09,197.0,,14440.0,17760.0,11770.0,11370.0,11270.0,,18020.0,18720.0,18870.0,215.0,12830.0
2017-03-10,197.0,,14440.0,17760.0,11770.0,11370.0,11270.0,,18020.0,18720.0,18870.0,215.0,12830.0
2017-03-11,197.0,,14440.0,17760.0,11770.0,11370.0,11270.0,,18020.0,18720.0,18870.0,215.0,12830.0
2017-03-12,197.0,,14440.0,17760.0,11770.0,11370.0,11270.0,,18020.0,18720.0,18870.0,215.0,12830.0
2017-03-13,197.0,,14440.0,17760.0,11770.0,11370.0,11270.0,,18020.0,18720.0,18870.0,215.0,12830.0
2017-03-14,197.0,,14440.0,17760.0,11770.0,11370.0,11270.0,,18020.0,18720.0,18870.0,215.0,12830.0
2017-03-15,197.0,,14440.0,17760.0,11770.0,11370.0,11270.0,,18020.0,18720.0,18870.0,215.0,12830.0
2017-03-16,197.0,,14440.0,17760.0,11770.0,11370.0,11270.0,,18020.0,18720.0,18870.0,215.0,12830.0
2017-03-17,197.0,,14440.0,17760.0,11770.0,11370.0,11270.0,,18020.0,18720.0,18870.0,215.0,12830.0
2017-03-18,197.0,,14440.0,17760.0,11770.0,11370.0,11270.0,,18020.0,18720.0,18870.0,215.0,12830.0
2017-03-19,197.0,,14440.0,17760.0,11770.0,11370.0,11270.0,,18020.0,18720.0,18870.0,215.0,12830.0
