ngay_ky,mat_hang,don_vi,vung1,vung2
2017-05-05,"Mazút No2B (3,5S)",Đồng/kg,10900,10900
2017-05-05,Mazút No3 (380),Đồng/kg,10800,11010
2017-05-05,WTI,$95.91,215,229
2017-05-05,Xăng RON 92-II,Đồng/lít,17270,17610
2017-05-05,"Xăng RON 95-II,III",Đồng/lít,17970,18320
2017-05-05,Xăng RON 95-IV,Đồng/lít,18120,18480
2017-05-05,Xăng sinh học E5 RON 92-II,Đồng/lít,17060,17400
2017-05-05,"Điêzen 0,05S (DO 0.005S)",Đồng/lít,13600,13870
2017-05-20,Dầu hỏa,Đồng/lít,11790,12020
2017-05-20,"Mazút No2B (3,0S)",Đồng/kg,11040,11260
2017-05-20,"Mazút No2B (3,5S)",Đồng/kg,10890,10890
2017-05-20,Mazút No3 (380),Đồng/kg,10790,11000
2017-05-20,Xăng RON 92-II,Đồng/lít,17060,17400
2017-05-20,"Xăng RON 95-II,III",Đồng/lít,17760,18110
2017-05-20,Xăng RON 95-IV,Đồng/lít,17910,18260
2017-05-20,Xăng sinh học E5 RON 92-II,Đồng/lít,16870,17200
2017-05-20,"Điêzen 0,05S (DO 0.005S)",Đồng/lít,13260,13520
2017-06-05,Brent,$97.97,197,205
2017-06-05,Dầu hỏa,Đồng/lít,12110,12350
2017-06-05,"Mazút No2B (3,0S)",Đồng/kg,11180,11400
2017-06-05,"Mazút No2B (3,5S)",Đồng/kg,11030,11030
2017-06-05,Mazút No3 (380),Đồng/kg,10930,11140
2017-06-05,WTI,$95.91,215,229
2017-06-05,Xăng RON 92-II,Đồng/lít,17360,17700
2017-06-05,"Xăng RON 95-II,III",Đồng/lít,18060,18420
2017-06-05,Xăng RON 95-IV,Đồng/lít,18210,18570
2017-06-05,Xăng sinh học E5 RON 92-II,Đồng/lít,17150,17490
2017-06-05,"Điêzen 0,05S (DO 0.005S)",Đồng/lít,13480,13740
2017-06-20,Dầu hỏa,Đồng/lít,11380,11600
2017-06-20,"Mazút No2B (3,0S)",Đồng/kg,10810,11020
2017-06-20,"Mazút No2B (3,5S)",Đồng/kg,10660,10660
2017-06-20,Mazút No3 (380),Đồng/kg,10560,10770
2017-06-20,Xăng RON 92-II,Đồng/lít,16500,16830
2017-06-20,"Xăng RON 95-II,III",Đồng/lít,17200,17540
2017-06-20,Xăng RON 95-IV,Đồng/lít,17350,17690
2017-06-20,Xăng sinh học E5 RON 92-II,Đồng/lít,16340,16660
2017-06-20,"Điêzen 0,05S (DO 0.005S)",Đồng/lít,12830,13080
2017-07-05,Brent,$97.97,197,205
2017-07-05,Dầu hỏa,Đồng/lít,11660,11890
2017-07-05,"Mazút No2B (3,0S)",Đồng/kg,10920,11130
2017-07-05,"Mazút No2B (3,5S)",Đồng/kg,10770,10770
2017-07-05,Mazút No3 (380),Đồng/kg,10670,10880
2017-07-05,WTI,$95.91,215,229
2017-07-05,Xăng RON 92-II,Đồng/lít,16060,16380
2017-07-05,"Xăng RON 95-II,III",Đồng/lít,16760,17090
2017-07-05,Xăng RON 95-IV,Đồng/lít,16910,17240
2017-07-05,Xăng sinh học E5 RON 92-II,Đồng/lít,15910,16220
2017-07-05,"Điêzen 0,05S (DO 0.005S)",Đồng/lít,12950,13200
2017-07-20,Dầu hỏa,Đồng/lít,11930,12160
2017-07-20,"Mazút No2B (3,0S)",Đồng/kg,10980,11190
2017-07-20,"Mazút No2B (3,5S)",Đồng/kg,10830,10830
2017-07-20,Mazút No3 (380),Đồng/kg,10730,10940
2017-07-20,Xăng RON 92-II,Đồng/lít,16420,16740
2017-07-20,"Xăng RON 95-II,III",Đồng/lít,17120,17460
2017-07-20,Xăng RON 95-IV,Đồng/lít,17270,17610
2017-07-20,Xăng sinh học E5 RON 92-II,Đồng/lít,16250,16570
2017-07-20,"Điêzen 0,05S (DO 0.005S)",Đồng/lít,13320,13580
2017-08-04,Brent,$97.97,197,205
2017-08-04,Dầu hỏa,Đồng/lít,12390,12630
2017-08-04,"Mazút No2B (3,0S)",Đồng/kg,11240,11460
2017-08-04,"Mazút No2B (3,5S)",Đồng/kg,11090,11090
2017-08-04,Mazút No3 (380),Đồng/kg,10990,11200
2017-08-04,WTI,$95.91,215,229
2017-08-04,Xăng RON 92-II,Đồng/lít,17020,17360
2017-08-04,"Xăng RON 95-II,III",Đồng/lít,17720,18070
2017-08-04,Xăng RON 95-IV,Đồng/lít,17920,18270
