Model,MAE,RMSE,sMAPE(%),MASE,DA(%)
Naive,8646.49745762712,11385.357512310959,8.539501282679554,28.841107940727376,0.0
SVR,8722.84048058947,11392.214104705316,8.56426282468848,29.095756412732225,50.0
"ARIMAX(1,1,1)",9365.427200849555,13093.142532306738,9.028198986649834,31.239157605078745,45.76271186440678
kNN,10229.750762711865,13502.180546684433,9.856590857797107,34.12218038575344,50.0
XGBoost,9816.712656874577,13668.741809368956,9.279228674108717,32.74445759655875,50.0
LightGBM,10331.365976646017,14167.762906201913,9.791300078295036,34.461126342524615,44.06779661016949
RandomForest,10406.112213421982,14290.512750131686,9.880993092625957,34.71044860203875,46.61016949152542
Ridge,10799.438906497156,14418.631191838625,10.223463582811593,36.02242234245128,47.45762711864407
ElasticNet,10900.205730752541,14532.820559132068,10.304763865564949,36.35853842522769,47.45762711864407
Lasso,11166.631509482362,14869.041768999561,10.539799438216264,37.24722366224942,49.152542372881356
