Model,MAE,RMSE,sMAPE(%),MASE,DA(%)
Naive,8646.49745762712,11385.357512310959,8.539501282679554,28.841107940727376,0.0
kNN,9447.109745762713,12766.110847724294,9.503490415953651,31.511616494502878,51.69491525423729
"ARIMAX(1,1,1)",9365.427200849555,13093.142532306738,9.028198986649834,31.239157605078745,45.76271186440678
LightGBM,9810.440079525284,13106.049822832278,9.851503474821016,32.7235348956288,55.08474576271186
XGBoost,9867.154773569915,13245.189217452355,9.954120744109696,32.91271145189132,51.69491525423729
RandomForest,10051.301832872194,13366.686831821424,9.922074473526544,33.5269492100508,50.847457627118644
Ridge,10848.068745545741,14586.041746224837,10.248800811415586,36.184631195690834,50.0
ElasticNet,10924.729869550281,14665.122954251927,10.309403664417417,36.44034072005114,49.152542372881356
Lasso,11099.6593425214,14873.613148750122,10.462390386504804,37.02383245606318,50.847457627118644
SVR,60357.24297639379,64560.75008286498,80.0438006336577,201.32657971828127,50.0
