Model,MAE,RMSE,sMAPE(%),MASE,DA(%)
SVR,15796.034975420038,19869.6481258239,15.78890325249945,52.68898209872589,58.71559633027523
Naive,15945.999082568807,20063.27661319364,16.074592156199362,53.18919979065353,0.0
RandomForest,15793.092976291102,20369.11441417642,15.483959038865807,52.67916881712198,58.71559633027523
XGBoost,16814.889927407363,21223.712895725483,16.305619498422445,56.08745712172962,54.12844036697248
LightGBM,17505.33809865143,21973.855078187804,16.998721124202326,58.390504145326716,52.293577981651374
kNN,20828.53027522936,25058.64315438407,20.57469334021031,69.47528671100247,37.61467889908257
Ridge,21368.7772960378,25676.11662314307,19.757139056250537,71.27732536516852,48.62385321100918
ElasticNet,21519.50889384879,25926.011264967146,19.823397974703113,71.78010308572523,49.54128440366973
Lasso,21531.625601344353,26005.120244395082,19.76604695325196,71.82051936647686,50.45871559633027
"ARIMAX(1,1,1)",19273.82471528839,29385.288768621318,17.782434938285913,64.28943763280104,46.788990825688074
