Model,MAE,RMSE,sMAPE(%),MASE,DA(%)
Naive,1567.343442622951,3811.21932815406,1.459466053823041,5.228003781925034,9.836065573770492
"ARIMAX(1,1,1)",1604.8225448669286,3886.8865214998505,1.4964765391462729,5.353018429606057,46.72131147540984
XGBoost,2125.6011398565574,4108.685893251359,2.0358193813597834,7.0901185380513745,45.08196721311475
LightGBM,2380.2483881660955,4316.023009719957,2.3127318810031663,7.939515511946988,45.90163934426229
ElasticNet,2345.2435806757226,4526.814266341807,2.206616466601453,7.822754079214053,40.98360655737705
Ridge,2349.3946782740168,4529.744052083766,2.2099617176606965,7.836600408839615,40.16393442622951
Lasso,2326.0052009037604,4546.513690188014,2.1836609673912157,7.758582871123495,43.44262295081967
RandomForest,2358.546106800293,4558.242294513529,2.2604341614719448,7.867125756152979,45.90163934426229
kNN,4533.875819672132,6831.101195378086,4.403273491939533,15.123118065532065,49.18032786885246
SVR,58985.6474405321,63431.421033066385,78.55810375351271,196.75150928141758,44.26229508196721
