Model,MAE,RMSE,sMAPE(%),MASE,DA(%)
Naive,15945.999082568807,20063.27661319364,16.074592156199362,53.18919979065353,0.0
kNN,17799.289541284405,23938.351911944126,18.60803038573285,59.371003512597305,56.88073394495413
LightGBM,21454.96136889428,25497.452396012028,23.122806466898197,71.5647994736392,55.96330275229357
RandomForest,21815.710073019887,25855.550709125364,23.443103920710776,72.76810663542948,55.96330275229357
XGBoost,21675.030260894495,26171.402962038028,23.013817269428888,72.29885747801363,54.12844036697248
Ridge,21741.860104778894,26275.21639000345,19.934193987000807,72.5217739537979,49.54128440366973
Lasso,21781.04484592553,26412.38645552174,19.8478519244182,72.65247790121452,50.45871559633027
ElasticNet,21866.746777857472,26472.928382851456,19.977835193565134,72.93834378872458,51.37614678899083
"ARIMAX(1,1,1)",19273.82471528839,29385.288768621318,17.782434938285913,64.28943763280104,46.788990825688074
SVR,63804.63156326385,67555.92318899574,83.40583652636336,212.8256296902264,41.284403669724774
